dispute_id,order_id,reason,order_value,has_delivery_proof,has_signed_pod,ip_match,tracking_valid,comm_logs,days_to_file,prior_customer_disputes,won
DSP-2000,ORD-11784,Transaction not recognised,1748.83,1,1,1,1,5,0,0,1
DSP-2001,ORD-12188,Item not received,5496.66,0,0,1,0,0,10,0,0
DSP-2002,ORD-15480,Transaction not recognised,8246.6,0,0,1,0,1,19,0,0
DSP-2003,ORD-13415,Item not received,8270.42,1,1,0,1,1,0,0,0
DSP-2004,ORD-13535,Item not received,2073.14,1,1,1,1,1,17,1,1
DSP-2005,ORD-13683,Transaction not recognised,3089.52,1,0,1,1,1,3,1,1
DSP-2006,ORD-10019,Item not received,4481.89,0,0,1,0,6,14,1,0
DSP-2007,ORD-14574,Item not received,5371.42,1,1,1,1,1,0,0,1
DSP-2008,ORD-12017,Defective item,2591.98,1,1,1,1,3,14,0,1
DSP-2009,ORD-15307,Duplicate charge,5204.45,0,0,0,0,1,3,0,0
DSP-2010,ORD-13993,Item not received,7360.92,0,0,0,0,0,28,0,0
DSP-2011,ORD-14855,Defective item,2921.04,1,1,1,1,1,39,0,1
DSP-2012,ORD-14160,Defective item,9457.21,0,0,1,0,5,6,1,0
DSP-2013,ORD-12784,Item not received,10099.7,1,1,1,1,1,52,0,1
DSP-2014,ORD-15817,Item not received,7138.51,1,1,0,1,1,41,0,1
DSP-2015,ORD-14844,Item not as described,13609.13,1,1,0,1,4,0,1,1
DSP-2016,ORD-13366,Defective item,16711.65,1,1,1,1,3,4,0,1
DSP-2017,ORD-12380,Duplicate charge,18509.86,1,1,0,0,1,8,0,1
DSP-2018,ORD-11181,Duplicate charge,6346.35,0,0,0,0,2,5,0,0
DSP-2019,ORD-11557,Defective item,3489.03,1,1,0,1,0,7,0,1
DSP-2020,ORD-12191,Duplicate charge,4664.42,0,0,1,0,1,1,1,0
DSP-2021,ORD-12629,Defective item,1436.68,1,1,0,1,2,13,0,1
DSP-2022,ORD-11835,Defective item,4679.85,1,1,1,1,1,16,0,1
DSP-2023,ORD-13418,Item not received,5971.35,0,0,1,0,2,11,0,1
DSP-2024,ORD-14196,Transaction not recognised,1216.52,1,0,1,1,0,16,0,1
DSP-2025,ORD-11926,Item not received,10417.71,1,1,1,1,1,0,2,1
DSP-2026,ORD-10323,Defective item,5345.9,1,1,1,1,3,9,1,1
DSP-2027,ORD-11066,Defective item,1699.04,1,0,0,1,2,5,0,1
DSP-2028,ORD-12221,Item not as described,2462.1,0,0,1,0,2,12,0,0
DSP-2029,ORD-11526,Defective item,2315.06,0,0,1,0,1,21,0,1
DSP-2030,ORD-12974,Duplicate charge,6761.89,1,1,0,1,3,17,0,1
DSP-2031,ORD-14128,Duplicate charge,3854.9,1,1,1,1,3,18,1,1
DSP-2032,ORD-15189,Item not as described,5380.5,1,1,0,1,3,8,1,1
DSP-2033,ORD-14345,Transaction not recognised,6547.69,0,0,0,0,1,26,0,0
DSP-2034,ORD-13138,Transaction not recognised,3369.52,1,0,1,1,1,0,1,1
DSP-2035,ORD-11163,Transaction not recognised,1601.71,1,1,1,0,1,0,0,1
DSP-2036,ORD-11425,Duplicate charge,4555.6,1,1,1,1,4,9,0,1
DSP-2037,ORD-15764,Duplicate charge,4169.68,1,0,1,1,1,1,0,1
DSP-2038,ORD-14595,Transaction not recognised,2463.79,0,0,0,0,2,15,0,0
DSP-2039,ORD-14210,Item not received,2542.13,1,0,0,1,0,3,0,1
DSP-2040,ORD-14620,Item not received,2712.75,1,1,1,0,2,1,3,1
DSP-2041,ORD-12345,Transaction not recognised,1826.1,1,0,1,1,3,9,0,1
DSP-2042,ORD-15263,Transaction not recognised,7107.71,1,1,0,1,2,9,1,0
DSP-2043,ORD-15736,Transaction not recognised,4916.56,1,1,1,1,1,12,0,1
DSP-2044,ORD-13497,Item not received,4428.29,0,0,1,0,2,11,0,0
DSP-2045,ORD-13457,Duplicate charge,9423.11,0,0,0,0,4,2,1,0
DSP-2046,ORD-15199,Duplicate charge,5749.15,0,0,1,0,0,17,0,0
DSP-2047,ORD-15422,Item not as described,1444.42,0,0,0,0,0,7,0,1
DSP-2048,ORD-14569,Item not received,2485.36,1,1,1,1,1,23,0,1
DSP-2049,ORD-15086,Item not as described,4275.41,1,1,0,1,4,3,0,1
DSP-2050,ORD-12658,Transaction not recognised,3285.16,1,1,0,0,2,2,1,1
DSP-2051,ORD-14034,Item not as described,4338.89,1,0,1,1,1,1,1,1
DSP-2052,ORD-10392,Duplicate charge,5486.71,1,1,1,1,1,18,0,1
DSP-2053,ORD-12820,Item not as described,8470.7,0,0,0,0,0,1,1,0
DSP-2054,ORD-11861,Item not as described,3556.1,1,0,1,1,3,25,0,0
DSP-2055,ORD-14440,Duplicate charge,4024.21,1,1,0,1,0,9,0,1
DSP-2056,ORD-15465,Defective item,5612.82,0,0,1,0,0,4,0,0
DSP-2057,ORD-12020,Transaction not recognised,6428.93,1,0,0,1,1,2,1,0
DSP-2058,ORD-13140,Transaction not recognised,8460.82,1,1,1,1,4,1,0,1
DSP-2059,ORD-11977,Defective item,5657.82,1,1,1,1,1,6,2,1
DSP-2060,ORD-10665,Item not as described,2498.68,1,1,0,0,0,7,1,1
DSP-2061,ORD-13646,Duplicate charge,2236.8,1,1,1,0,0,25,0,1
DSP-2062,ORD-13559,Duplicate charge,2784.36,1,1,1,1,0,2,0,1
DSP-2063,ORD-15065,Item not as described,10546.63,1,1,1,1,2,4,0,1
DSP-2064,ORD-11106,Transaction not recognised,9573.64,0,0,1,0,0,3,1,0
DSP-2065,ORD-12721,Item not received,6854.04,1,1,0,1,2,8,0,0
DSP-2066,ORD-13285,Item not received,2240.0,1,1,1,1,1,1,1,1
DSP-2067,ORD-14609,Item not as described,8549.19,1,1,1,1,1,4,0,1
DSP-2068,ORD-15799,Defective item,2860.97,0,0,0,0,2,3,0,0
DSP-2069,ORD-14506,Duplicate charge,1649.52,1,1,0,1,1,33,1,1
DSP-2070,ORD-15470,Item not received,6514.55,1,1,0,1,3,9,0,1
DSP-2071,ORD-12786,Duplicate charge,4284.49,1,1,1,1,1,4,0,1
DSP-2072,ORD-13647,Item not received,4217.07,1,1,0,1,2,9,1,1
DSP-2073,ORD-10012,Item not received,10676.75,1,1,0,1,0,6,0,1
DSP-2074,ORD-15398,Transaction not recognised,19324.29,1,1,0,0,0,0,1,1
DSP-2075,ORD-14826,Item not as described,6508.88,1,1,0,1,0,2,0,1
DSP-2076,ORD-10367,Duplicate charge,2983.99,1,1,1,1,2,6,1,1
DSP-2077,ORD-15345,Transaction not recognised,3009.26,1,1,1,1,1,0,0,1
DSP-2078,ORD-11925,Item not as described,3325.92,0,0,1,0,3,5,0,0
DSP-2079,ORD-13639,Transaction not recognised,2062.55,1,1,1,1,3,13,0,1
DSP-2080,ORD-12742,Item not as described,6636.58,1,1,0,1,1,4,0,1
DSP-2081,ORD-10570,Defective item,13243.92,0,0,1,0,2,30,0,1
DSP-2082,ORD-13910,Item not received,7167.93,1,1,1,1,1,2,0,1
DSP-2083,ORD-13382,Item not received,7998.5,1,1,1,1,1,27,1,0
DSP-2084,ORD-13943,Item not received,5320.89,0,0,0,0,3,0,0,0
DSP-2085,ORD-13377,Transaction not recognised,5552.39,0,0,1,0,1,2,1,0
DSP-2086,ORD-11241,Defective item,4935.85,0,0,0,0,0,26,0,0
DSP-2087,ORD-13466,Item not received,6353.81,1,1,1,1,0,15,0,1
DSP-2088,ORD-11615,Defective item,4542.64,1,1,0,1,0,33,0,1
DSP-2089,ORD-15858,Duplicate charge,4121.61,0,0,0,0,0,2,0,0
DSP-2090,ORD-13110,Item not as described,3107.53,0,0,1,0,3,9,0,0
DSP-2091,ORD-10453,Duplicate charge,4602.15,1,1,1,1,2,1,0,1
DSP-2092,ORD-13162,Duplicate charge,5070.65,1,1,0,1,0,1,1,1
DSP-2093,ORD-10589,Transaction not recognised,7300.77,0,0,1,0,0,3,1,0
DSP-2094,ORD-15376,Item not as described,5868.4,1,1,0,1,2,12,0,1
DSP-2095,ORD-13615,Duplicate charge,2993.55,1,1,0,1,2,10,1,1
DSP-2096,ORD-12608,Transaction not recognised,4443.48,1,1,1,1,0,8,1,1
DSP-2097,ORD-10135,Item not received,2471.47,1,0,1,0,0,34,0,1
